q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
5,1,3,1,E,1.57,44.45,1,2,7,3,3
4,2,2,2,C E,1.73,63.5,1,3,8,1,5
4,2,2,2,C,1.6,54.43,1,3,8,4,2
6,1,4,,E,1.57,50.8,2,3,8,4,6
7,2,4,2,E,1.73,68.04,5,3,3,3,3
6,2,4,2,C E,1.8,129.28,1,5,6,4,5
3,2,1,2,E,1.7,56.7,2,3,4,1,2
3,1,1,1,,1.63,45.36,1,1,2,4,4
3,1,1,1,AB,,,1,,4,3,3
3,1,1,1,E,1.57,70.31,1,4,4,2,4
3,1,1,2,B  E,1.65,68.04,1,4,4,3,3
3,2,1,2,E,1.8,62.14,1,3,8,1,5
3,2,1,2,C E,1.6,52.16,1,3,5,1,4
3,,1,1,A   E,,,7,5,8,5,7
3,1,1,1,,1.57,85.28,1,4,1,4,2
3,1,1,1,,1.52,54.43,2,4,2,4,4
5,2,4,2,C,1.78,75.75,3,3,4,4,1
3,2,1,2,DE,1.75,48.99,1,1,6,5,4
3,2,1,1,E,,,1,3,6,2,3
2,1,1,1,B DE,1.52,50.8,3,4,3,5,5
3,2,1,2,E,1.78,72.58,1,3,8,2,6
,,,,E,,,2,1,1,3,4
7,2,4,1,,1.6,59.88,1,3,8,1,5
5,2,3,2,E,1.8,52.16,1,2,2,3,3
5,2,3,2,E,,,7,3,4,3,2
6,2,4,1,ABCDE,,,,1,8,1,7
6,2,4,2,E,1.83,61.24,1,2,1,2,2
6,2,4,1,E,1.83,63.05,3,2,3,2,5
6,1,4,2,E,1.7,51.71,1,2,1,1,2
6,2,4,2,C,1.85,81.65,1,3,6,2,3
6,2,4,2,E,1.6,58.97,1,3,1,3,5
6,2,4,2,E,1.85,58.06,1,2,3,5,1
6,2,4,2,E,1.85,58.06,1,3,8,5,4
6,2,4,1,,1.88,104.33,1,,,,
6,2,4,2,B  E,1.73,61.24,1,2,6,1,4
6,2,4,1,,1.7,81.65,1,4,2,2,3
5,1,4,2,E,1.6,52.16,,3,8,1,5
6,2,4,1,,,,1,3,8,3,4
6,2,4,2,ABC,1.83,54.43,1,1,4,3,4
6,2,4,2,E,1.85,81.65,1,3,3,3,4
6,2,4,2,A   E,1.93,102.06,2,4,2,3,3
7,2,4,2,E,1.65,54.43,1,2,3,2,3
6,2,4,2,E,1.88,65.32,1,2,2,2,3
6,1,4,2,E,1.57,41.73,,2,5,2,4
6,1,4,2,E,1.68,81.65,1,4,1,4,3
6,1,4,1,E,1.57,53.98,2,3,4,4,3
6,2,4,2,DE,1.68,52.16,1,3,8,3,4
6,1,4,2,E,1.63,61.24,1,3,6,4,4
5,1,3,2,B  E,1.52,48.08,1,3,8,4,1
5,2,3,1,,1.63,65.77,1,4,8,2,5
6,1,3,2,C,1.57,74.84,1,4,8,3,3
5,2,3,1,E,,,1,3,4,1,4
5,2,3,1,E,1.73,84.82,,3,7,2,5
5,2,3,2,BC E,1.65,56.7,1,3,8,1,5
5,2,3,2,E,1.88,99.79,1,4,6,1,5
5,1,3,2,A C,1.65,56.7,2,2,2,4,2
