q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
6,2,4,2,E,1.85,81.65,1,4,6,3,5
7,2,4,2,E,1.88,109.32,2,4,6,1,5
6,2,4,2,E,1.88,86.64,1,4,5,2,5
6,2,4,2,E,1.75,74.84,1,3,7,1,4
6,2,4,1,E,1.78,68.04,1,3,8,1,
6,2,4,2,B,1.83,62.6,1,3,8,3,3
6,2,4,2,E,1.8,99.79,1,4,4,1,3
6,1,4,1,D,1.47,39.01,1,3,8,4,1
6,1,4,2,E,1.55,54.43,1,3,5,3,5
6,2,4,2,B,1.9,72.58,1,2,5,3,5
6,2,4,2,E,,,1,3,5,2,5
6,2,4,2,E,,,1,3,7,2,5
4,2,1,2,B,1.65,49.44,1,2,5,3,5
3,2,1,1,,1.73,55.79,1,2,7,1,2
4,1,2,2,E,1.6,45.81,1,2,3,4,4
7,1,4,2,E,,,1,3,5,1,6
3,2,1,2,E,1.75,54.43,1,3,8,5,4
4,2,1,2,E,1.78,67.13,1,3,8,1,5
3,1,1,2,E,1.65,63.96,1,4,8,2,4
3,1,1,2,E,1.65,47.63,1,3,8,3,4
3,1,1,2,E,1.52,48.54,1,3,6,3,2
3,1,1,2,E,1.63,56.25,2,3,8,3,3
5,1,2,2,E,1.57,63.5,1,3,8,5,4
3,2,1,,E,1.78,54.43,1,2,6,2,5
4,2,1,2,E,1.68,62.14,1,3,8,2,4
4,2,1,2,E,1.65,47.63,1,2,8,3,5
4,1,1,2,E,,,1,4,8,4,4
3,2,1,2,E,1.88,74.84,1,3,8,3,5
5,1,2,2,E,1.63,77.11,1,4,3,4,5
4,1,1,2,E,1.63,54.43,3,3,8,3,3
3,1,1,2,E,1.75,56.7,1,3,6,5,5
3,2,1,2,E,1.85,74.84,2,3,7,2,4
4,1,1,2,E,1.57,43.09,1,3,8,3,3
3,1,1,1,C E,1.73,62.14,4,3,1,5,3
3,2,1,2,E,1.75,50.8,1,2,8,1,5
5,2,2,2,E,1.8,83.92,1,3,8,1,4
4,1,1,2,E,1.55,48.54,1,3,5,3,4
3,2,1,2,E,1.6,85.28,1,4,8,2,4
3,1,1,2,E,,,1,3,6,1,5
4,2,2,2,E,1.73,99.79,1,4,2,3,6
6,2,4,2,E,1.78,58.97,1,2,8,2,5
6,1,4,2,E,1.7,72.58,1,4,2,2,4
6,2,4,2,E,1.88,90.27,1,3,1,1,1
7,1,4,2,E,1.6,90.72,1,5,4,3,3
6,1,4,2,E,1.63,90.72,2,5,5,1,4
6,2,4,2,E,,,2,3,5,3,3
7,1,4,2,E,,,4,3,8,3,3
7,2,4,1,E,1.83,86.18,1,4,1,2,2
7,2,4,2,E,1.78,77.11,1,3,3,4,5
6,2,4,2,E,1.78,79.38,1,4,5,2,3
5,2,3,2,E,1.73,68.04,1,3,8,3,3
5,1,3,2,E,1.6,54.43,4,3,1,4,3
5,1,3,2,E,1.6,83.01,2,4,2,4,2
5,2,3,2,E,1.83,92.99,1,4,1,3,3
5,1,3,2,E,1.65,63.5,1,4,3,4,3
5,1,3,2,E,1.6,60.78,1,4,4,5,3
5,2,3,2,E,1.75,101.15,4,4,8,2,2
5,1,3,2,E,1.7,65.77,1,3,8,3,5
5,2,3,2,E,,,,,,2,5
5,1,3,2,E,1.68,56.7,1,3,3,4,1
7,1,3,2,E,1.65,67.59,4,3,1,2,5
6,1,3,2,E,1.65,52.62,2,3,2,3,3
5,,3,2,E,,,1,2,5,4,2
5,2,3,2,A   E,,,1,3,8,1,6
5,1,3,2,E,1.57,54.43,1,3,1,3,4
6,1,3,2,E,1.6,56.7,4,3,1,4,2
5,,3,2,E,,,1,,,4,1
5,1,3,2,E,1.68,65.77,2,3,3,3,2
5,2,3,2,E,1.8,69.85,1,3,1,5,3
5,2,3,2,E,1.85,80.74,1,3,5,1,5
6,2,3,2,E,,,1,3,1,5,4
6,1,3,2,E,1.7,116.12,1,4,2,2,4
7,2,4,2,E,1.78,77.11,1,4,8,1,1
6,1,4,1,E,1.68,77.11,1,4,1,5,2
4,1,2,2,E,1.63,56.25,5,3,6,5,3
4,1,2,2,A   E,,,2,3,2,5,3
4,1,2,2,E,1.73,88.45,1,4,3,1,5
5,1,2,2,E,,,1,3,5,4,4
4,2,2,2,E,1.75,70.76,1,3,,1,4
4,2,2,2,E,1.85,64.41,1,2,3,2,4
4,2,2,2,E,1.7,79.38,5,4,2,3,5
5,2,2,2,E,1.78,69.85,1,3,8,1,5
5,2,2,2,E,1.83,72.58,1,3,8,1,5
5,2,2,2,E,1.83,70.31,4,3,4,3,4
5,2,2,2,E,1.7,58.97,1,3,6,3,4
4,1,2,2,E,1.63,73.94,1,4,4,4,2
4,2,2,2,E,1.8,58.97,6,3,5,2,4
4,1,2,2,C E,1.63,74.84,1,4,4,2,4
5,2,2,2,E,1.83,90.72,2,4,6,4,4
5,2,2,2,E,1.6,77.11,1,4,1,5,1
5,1,2,2,E,,,1,1,4,5,1
4,1,2,2,E,,,1,,,,
4,2,2,2,E,1.85,75.75,1,3,8,4,2
7,2,4,1,E,1.88,78.02,2,3,5,4,3
7,2,4,1,E,1.68,71.22,1,3,4,3,3
7,1,4,2,A,1.5,37.2,1,2,8,4,5
6,2,4,2,A,1.83,120.66,1,4,2,5,7
6,2,4,2,E,1.78,108.86,1,4,1,4,3
7,2,4,1,E,1.93,122.47,,3,8,2,2
6,1,4,2,E,1.65,65.77,2,3,4,1,6
7,1,4,2,E,1.6,59.88,3,3,3,2,5
7,2,4,2,E,1.83,81.65,1,3,8,1,5
4,2,2,2,E,1.83,68.04,1,4,1,3,2
5,2,3,2,A   E,1.73,104.33,1,4,6,2,5
6,2,3,1,C,1.68,107.96,1,4,1,2,4
5,2,3,,C,,,,4,8,1,5
5,2,3,2,C,1.68,60.78,1,3,8,4,1
,,,,,,,1,2,1,5,4
5,2,3,1,,1.6,55.79,1,2,2,1,3
5,2,3,2,E,1.57,45.36,1,,,,
7,2,3,1,E,,,1,4,1,3,6
5,1,3,1,E,1.68,65.77,5,5,8,4,2
5,1,3,2,C,1.68,77.11,1,4,8,4,4
6,1,3,2,C,1.65,65.77,1,3,8,1,3
6,2,3,1,E,1.75,73.94,1,3,8,3,3
6,1,3,2,A C,,,2,4,1,2,3
5,1,2,1,,1.6,49.9,1,3,2,1,5
3,1,1,1,,,,1,3,3,1,4
3,1,1,1,C E,1.65,90.72,1,5,8,5,3
3,1,1,2,E,1.5,54.43,1,3,4,3,5
5,2,3,2,E,,,1,5,1,5,1
6,1,4,2,B  E,1.63,108.86,1,5,3,3,3
6,1,4,2,E,1.73,95.26,1,4,5,4,1
6,2,4,2,C E,1.85,113.4,,3,7,4,3
7,1,4,2,E,1.57,54.43,2,3,6,2,4
6,2,4,2,E,1.78,65.77,4,3,8,3,1
4,2,1,1,D,1.73,82.56,1,4,1,2,3
4,1,1,1,C,,,1,5,8,2,5
4,2,1,2,E,1.83,86.18,1,3,8,2,4
3,1,1,1,,1.6,66.68,1,4,8,3,3
3,2,1,2,E,1.73,95.26,1,4,8,3,5
5,1,1,1,E,1.63,61.24,1,3,8,1,7
3,1,1,1,E,1.55,66.23,3,4,8,3,2
4,1,1,2,E,1.52,50.8,1,3,2,,6
4,2,1,1,A,1.63,49.44,1,3,8,1,3
4,2,1,1,E,1.78,83.01,1,4,8,1,5
3,2,1,2,E,1.63,72.58,1,4,8,1,6
4,2,2,2,E,1.85,90.27,1,3,4,1,1
6,1,4,2,E,1.57,52.62,1,2,1,5,4
6,2,4,1,A,1.57,48.54,1,3,8,1,4
6,2,4,2,E,1.78,122.47,2,4,1,3,4
7,2,4,1,,1.8,71.22,1,3,8,1,4
6,1,4,1,,1.57,48.08,2,3,4,3,3
6,2,4,2,E,1.8,68.95,1,3,8,2,4
6,1,4,2,E,,,1,4,3,2,4
5,1,2,1,E,1.68,68.04,1,3,3,2,1
4,1,2,2,C,1.7,56.7,1,2,4,3,4
6,1,2,2,C,1.73,68.04,1,3,7,2,3
4,2,2,2,C,1.78,59.42,3,2,8,3,2
5,2,2,2,C,,,1,2,8,1,3
4,1,2,,E,1.63,53.52,1,3,4,3,6
5,2,2,2,E,1.96,149.69,,5,8,1,5
4,1,2,2,E,1.63,51.26,1,2,1,5,5
4,2,2,1,E,1.83,70.76,1,4,4,2,5
4,1,2,2,E,1.52,51.26,1,3,8,4,2
5,2,2,,,1.65,71.22,4,3,8,3,6
4,1,2,1,C,1.63,77.57,1,4,8,3,4
4,2,2,2,E,1.75,95.26,1,4,5,2,3
5,1,2,1,E,1.75,95.26,5,5,4,4,4
5,2,3,2,E,1.85,99.79,,4,4,4,1
4,1,2,1,E,1.55,54.43,3,4,1,2,4
5,2,2,1,E,1.65,102.51,1,5,6,1,3
4,2,2,1,E,1.68,56.7,1,3,8,1,4
5,1,2,2,E,1.52,78.93,1,4,1,2,4
5,1,2,2,C,1.57,58.06,2,4,3,3,4
4,2,2,1,,1.78,64.41,2,2,1,4,3
5,1,2,1,,1.65,68.04,1,3,4,3,5
4,2,2,2,C,1.8,73.48,1,3,5,1,6
4,2,2,1,C,1.75,103.42,1,5,8,2,3
6,2,3,2,E,1.7,84.37,1,3,4,2,3
5,1,3,1,E,1.68,54.43,1,2,5,4,3
6,1,3,2,A   E,,,2,3,1,5,2
5,2,3,2,C,,,1,4,5,1,4
5,2,3,1,E,1.75,65.77,1,3,2,3,3
5,1,3,2,C,1.7,93.9,1,4,1,2,2
5,2,3,2,C E,,,1,3,8,3,4
5,1,3,1,,,,1,4,3,3,1
5,1,3,2,E,1.63,53.07,1,3,4,4,1
6,2,3,1,E,1.7,63.5,1,3,1,2,1
5,2,3,2,E,1.83,70.31,1,3,8,5,3
5,2,3,2,E,1.78,102.06,2,4,7,3,4
5,1,3,1,,1.6,73.94,1,3,1,3,1
4,1,1,1,,1.57,54.43,1,3,8,3,3
3,1,1,2,E,1.5,52.16,1,4,7,3,2
3,2,1,1,A C,1.65,49.9,1,2,8,3,3
6,1,3,2,E,,,1,3,2,,
5,1,3,1,,1.68,54.43,1,3,5,3,4
5,1,3,2,E,1.63,63.5,1,3,8,4,2
5,1,3,2,E,1.68,61.24,1,3,4,2,3
5,2,3,1,E,1.75,62.14,1,2,1,3,3
3,1,1,1,E,,,1,4,4,2,1
3,1,1,2,E,,,1,4,3,3,2
3,2,1,1,E,1.83,81.65,3,3,,3,2
4,2,1,2,D,1.83,88.91,1,4,,,
3,2,1,2,B,,,1,4,6,4,3
3,2,1,2,E,1.75,55.34,1,2,4,2,4
,,,,,,,1,3,8,,
4,2,1,2,E,1.68,56.7,1,2,8,1,3
4,2,1,2,E,1.8,83.46,3,4,8,2,1
3,2,1,1,E,1.55,49.44,1,2,8,,5
3,2,1,2,C,1.75,61.24,1,3,7,1,4
3,2,1,2,E,1.57,105.69,1,4,6,,
5,1,3,1,B,1.55,70.31,1,4,1,4,5
6,2,3,2,A C E,1.85,70.31,1,3,1,2,4
6,2,3,1,E,1.85,86.18,1,4,6,1,1
6,2,3,2,E,1.73,113.4,1,4,8,1,5
7,2,3,2,C E,1.78,58.97,5,3,5,4,3
5,2,3,2,E,1.85,104.33,2,5,5,4,4
5,2,3,1,C,,,5,5,2,3,3
7,2,1,2,C,1.9,136.08,,5,6,5,3
5,2,3,2,E,,,,,,4,1
5,2,3,2,C,1.75,83.92,1,4,7,1,2
6,2,3,2,C,1.78,64.41,1,3,1,3,2
5,2,3,2,E,1.75,65.77,,3,8,4,1
5,1,3,2,E,1.6,54.43,1,4,6,4,1
5,2,3,2,C,1.8,67.13,1,3,8,3,4
5,2,3,1,E,1.78,81.65,1,1,1,1,1
6,1,4,2,E,1.6,63.5,2,4,2,3,3
7,1,4,2,E,1.73,68.04,1,,,1,
7,1,4,1,E,1.68,63.5,1,,5,3,3
3,1,1,2,C,1.68,86.18,1,3,6,,
3,,1,,,,,1,4,2,5,1
4,2,1,2,E,1.68,58.97,2,3,6,3,5
3,2,1,1,E,1.73,71.22,,3,8,4,3
5,2,1,2,C,1.78,106.6,1,3,4,4,4
5,1,1,2,C E,,,1,,4,4,2
3,1,1,2,E,,,1,,6,3,3
4,1,1,2,C E,1.63,65.77,2,4,4,4,4
4,1,1,2,E,1.68,59.88,1,3,8,2,3
4,2,1,1,E,1.7,57.61,1,3,4,5,3
4,2,1,2,A C,1.7,84.82,1,3,,,
3,2,1,2,E,1.75,84.82,1,5,3,3,3
4,2,1,2,E,1.75,108.86,1,4,6,1,5
3,2,1,2,E,1.7,52.16,1,3,6,1,4
3,2,1,2,E,1.68,61.24,1,3,6,4,5
4,2,1,2,E,1.75,61.69,,3,8,2,3
4,2,1,2,E,1.8,69.85,1,3,8,2,1
4,1,1,2,C,1.57,86.18,1,4,,,
4,1,1,2,DE,1.65,51.71,1,3,7,3,1
5,1,1,2,C,,,1,2,,,
4,1,1,1,E,1.57,69.4,3,4,2,4,5
7,1,4,1,D,,,6,,,,
4,2,1,2,E,1.57,83.92,1,3,5,2,5
3,2,1,2,E,1.8,71.22,1,3,5,3,4
3,2,1,1,,1.88,106.14,1,4,8,2,3
6,2,4,2,E,1.68,47.63,1,2,3,4,5
6,2,4,2,E,1.9,74.84,2,2,7,3,1
7,1,4,1,E,1.6,58.97,4,4,2,3,4
7,1,4,2,C,1.7,63.5,1,3,8,5,1
7,2,4,,E,1.6,90.72,,4,3,,
7,1,4,2,C,1.52,43.55,1,3,4,3,3
6,2,4,2,E,1.85,70.31,4,4,7,3,1
7,1,4,1,E,1.57,54.43,2,3,3,2,4
3,1,1,1,,1.68,65.77,1,4,1,3,1
3,1,1,1,E,1.55,62.6,1,3,7,3,4
3,1,1,2,C,,,1,4,1,5,1
3,1,1,2,C E,1.85,127.01,1,5,7,3,4
7,2,4,2,E,1.83,83.92,1,3,4,2,3
6,2,4,1,E,1.7,68.49,1,3,3,5,1
6,2,4,2,,1.7,88,,3,4,3,3
7,1,4,2,E,1.65,68.95,4,4,2,3,5
6,2,4,2,E,1.73,86.18,1,3,8,1,2
6,1,4,1,C,1.65,77.11,1,4,6,5,1
7,2,4,1,E,1.9,136.08,2,4,5,2,3
6,2,4,2,C,1.8,70.31,1,3,8,4,2
6,1,4,2,E,1.55,72.58,1,4,,4,
6,1,4,2,C,1.63,72.58,1,4,1,4,3
6,1,4,1,E,1.55,83.92,1,5,1,5,3
6,1,4,2,E,1.88,79.38,3,4,4,4,2
7,1,4,2,E,,,1,4,4,1,4
7,1,4,2,E,1.68,95.26,4,5,2,,
6,2,4,2,E,1.75,104.33,2,4,5,3,4
7,2,4,1,C,1.83,136.08,1,4,1,,
6,1,4,2,E,1.63,49.9,2,5,4,5,2
7,2,4,1,,,,,,,3,1
6,2,4,2,C,1.78,67.13,1,3,3,3,1
6,2,4,2,E,1.78,69.85,1,3,3,1,4
7,2,4,2,E,1.85,97.52,1,4,1,3,3
6,2,4,2,C,,,1,4,2,1,3
7,2,4,2,E,1.8,90.72,1,3,8,2,5
4,2,2,2,E,1.8,93.9,1,3,5,,
5,2,2,2,C,1.78,122.47,1,,,,
4,1,2,2,E,1.55,48.54,1,3,1,3,3
3,1,3,1,C,,,7,5,,,
6,2,2,2,E,1.7,54.43,1,3,4,3,4
4,2,2,1,E,1.63,54.43,2,3,7,3,3
5,1,2,2,E,1.57,54.43,1,3,4,4,1
4,1,2,2,E,,,1,4,1,3,3
5,1,2,1,,1.52,49.9,1,3,2,5,3
4,1,2,2,E,1.57,64.41,1,3,5,4,5
4,2,2,2,E,1.85,68.04,1,3,8,2,1
4,1,2,2,E,1.78,113.4,1,5,1,5,2
4,2,2,2,E,1.73,73.48,1,5,1,1,1
1,1,4,1,E,,,,2,7,1,5
4,1,2,1,E,1.65,91.17,,4,1,,
4,2,2,2,C,1.75,74.84,7,5,8,5,7
5,1,2,2,E,1.75,63.5,1,3,5,4,6
5,1,2,2,E,1.52,51.26,1,3,3,4,2
5,2,2,1,E,1.75,72.58,1,5,1,5,7
4,1,2,2,C,,,1,,,,2
4,1,2,2,E,,,1,,,5,3
5,1,2,2,E,1.57,54.43,4,4,5,4,5
5,2,2,2,E,1.65,92.99,2,4,8,3,1
6,2,2,2,E,1.73,63.5,1,3,7,1,6
4,2,2,2,A,1.75,55.79,1,2,6,3,1
5,2,2,2,E,1.63,57.15,1,2,7,1,3
4,2,2,2,C,1.93,95.26,1,3,7,2,3
4,2,2,1,,1.73,54.89,1,1,3,1,3
5,2,2,1,C,,,1,4,6,3,2
4,1,2,2,C,,,1,3,2,4,2
4,2,2,1,E,1.63,80.74,1,4,1,4,4
4,1,2,2,C,1.63,54.43,1,3,1,3,3
6,2,2,2,E,1.85,68.04,1,2,4,1,4
6,2,2,1,E,,,1,4,5,2,3
5,2,2,2,E,,,2,3,3,4,1
4,2,2,2,C,1.83,79.38,1,3,5,1,4
4,2,2,2,C,1.8,76.2,1,3,8,1,4
7,2,4,1,B,1.98,95.71,,3,5,1,3
4,1,2,2,E,1.63,73.94,1,3,5,3,3
4,1,2,1,E,1.57,68.04,1,4,1,4,4
4,2,2,2,E,1.75,56.7,1,3,2,3,3
4,2,2,2,E,1.78,63.5,1,3,6,3,4
5,2,2,2,E,1.85,63.5,1,1,1,1,1
4,2,2,2,E,1.83,68.95,2,3,4,2,3
6,2,2,1,,1.63,57.15,1,3,6,1,3
5,1,2,2,E,1.68,74.84,2,4,4,3,4
4,1,2,2,C,1.65,60.78,,3,6,4,1
4,2,1,2,C E,,,1,3,1,1,7
3,2,1,2,E,1.73,81.65,1,4,8,4,1
3,1,1,2,C,1.55,58.06,1,3,7,4,3
3,2,1,2,C E,,,1,4,2,1,4
4,2,1,2,C,1.7,70.76,1,1,6,1,
3,1,1,2,C,1.55,55.79,1,3,4,3,2
4,2,1,1,E,1.63,97.98,1,4,3,3,1
6,1,4,1,E,1.6,65.77,2,4,8,2,2
6,1,4,1,E,1.65,72.58,1,3,1,5,2
6,2,4,2,E,1.73,63.5,1,2,5,3,4
7,2,4,2,E,1.68,65.77,1,3,6,3,2
7,1,4,2,E,1.63,78.02,1,4,6,3,5
6,2,4,1,,1.7,105.69,2,4,1,4,4
7,2,4,2,E,1.78,61.24,1,2,5,2,3
7,2,4,1,B,1.73,57.15,4,3,7,5,4
6,2,4,2,E,1.7,52.16,1,2,8,2,4
6,1,4,2,E,,,3,5,1,4,3
7,2,4,1,C E,,,3,2,6,3,4
6,1,4,1,,,,1,4,1,3,4
7,2,4,1,DE,1.78,81.65,1,3,2,3,3
6,2,4,2,A   E,1.68,63.5,1,3,8,2,3
7,1,4,2,E,1.75,91.17,1,4,6,4,2
6,2,4,1,,,,1,4,6,2,5
6,1,4,1,E,1.52,49.9,1,3,5,3,3
6,1,4,2,E,1.6,56.7,3,3,3,5,5
6,1,4,2,C,1.7,54.43,1,2,4,5,2
7,1,4,2,E,1.65,83.46,3,4,5,2,3
5,1,,2,E,1.65,54.43,1,2,1,3,4
6,1,3,1,,1.65,79.38,1,4,3,1,2
5,1,3,1,,,,1,2,7,,
,,,,,,,3,5,1,5,5
6,1,3,1,E,1.68,101.15,2,5,5,4,3
5,2,3,1,,1.85,78.47,3,3,8,1,2
6,2,3,1,B,1.68,72.12,1,3,1,3,2
5,2,3,2,C,1.83,74.84,6,2,8,3,1
6,2,3,1,,1.73,63.5,1,3,4,1,4
7,2,3,2,C,1.85,56.7,1,2,6,5,1
6,1,3,2,C,1.7,108.86,1,3,8,1,2
6,2,3,1,BC,,,1,4,4,3,5
5,2,3,1,,1.83,79.83,2,3,5,1,5
5,1,3,2,E,1.57,62.14,1,4,3,2,4
6,1,3,1,,1.57,60.78,4,5,1,3,4
5,1,3,1,E,,,1,,3,3,2
6,2,3,1,,1.68,81.65,3,3,8,1,2
7,2,3,1,E,1.85,124.74,1,4,6,1,4
6,2,3,1,C E,1.68,70.76,,3,,,
7,2,3,1,E,1.8,69.85,1,3,8,2,2
5,2,3,2,E,1.68,79.38,1,3,6,1,6
5,2,3,2,E,1.85,68.04,1,3,2,4,2
5,2,3,2,C,1.83,56.7,1,2,6,3,2
5,1,3,2,C E,1.57,60.33,2,3,4,3,2
5,2,3,2,E,1.73,49.9,1,2,6,4,2
4,1,2,1,,1.65,68.04,3,3,1,2,3
5,1,2,2,C,1.57,40.82,1,3,6,3,4
4,2,2,1,B,,,,,2,5,2
4,2,2,2,A,1.75,77.11,2,4,8,2,4
5,2,2,2,E,,,1,4,7,2,3
4,2,2,2,C,1.75,72.58,2,3,2,3,3
5,1,2,1,C,1.55,43.09,1,1,8,5,2
4,2,2,2,C,1.78,61.24,1,3,7,1,4
6,1,2,2,E,,,,4,2,5,3
4,2,2,1,,1.83,104.33,,4,1,1,5
5,1,2,1,E,1.6,58.97,1,3,3,4,2
4,2,2,1,,,,1,,,,
6,1,2,2,E,,,,3,1,3,3
6,1,2,2,E,1.57,54.43,3,3,,,
5,1,2,2,C E,,,1,,,5,1
4,2,1,2,C,1.75,100.25,1,4,1,,
3,1,1,2,C,,,,,1,3,4
3,2,1,1,B DE,1.78,82.56,2,3,6,3,4
3,1,1,1,,,,1,,5,5,3
4,2,1,2,E,,,1,1,4,3,2
3,2,1,2,C E,1.7,61.24,1,3,6,2,3
4,1,1,1,E,1.57,42.64,4,2,6,4,4
4,1,1,1,C,1.52,56.7,3,3,6,3,3
4,1,2,1,E,1.6,46.72,2,2,4,4,5
4,2,1,2,C E,1.7,57.61,1,3,4,3,
,,,,,,,1,4,8,3,4
6,1,3,2,C,1.63,58.97,2,1,2,3,4
6,1,3,2,C,1.52,63.5,1,3,3,4,1
5,1,3,1,A C,,,3,3,6,4,2
5,1,3,1,C,1.55,78.93,1,5,4,4,1
5,1,3,1,,,,1,5,2,2,1
6,2,3,1,,1.7,95.26,1,4,8,1,4
6,2,4,2,C,1.8,117.03,1,4,4,1,4
6,2,4,2,C,1.8,68.04,1,3,2,1,4
7,2,4,2,C,1.6,54.89,1,2,2,4,5
7,2,4,2,C,1.8,97.52,1,3,6,1,4
6,2,4,2,C,1.8,134.72,1,5,6,1,3
7,2,4,2,C,,,1,3,8,4,1
6,1,4,2,E,1.63,81.65,1,4,1,4,3
7,2,4,2,E,1.75,82.56,3,3,4,1,2
7,2,4,1,A,1.68,68.04,1,1,5,4,1
6,2,4,2,E,1.68,113.4,1,5,8,1,3
6,1,4,1,E,1.57,54.89,1,3,1,4,3
6,1,4,2,C,1.7,97.52,2,3,6,3,3
6,1,4,2,C,1.65,68.04,1,3,1,3,4
6,2,4,2,C,,,1,3,6,3,3
7,2,4,1,,,,,3,3,2,2
6,1,4,2,C E,1.73,72.58,2,3,3,2,4
7,2,3,2,C,1.83,72.58,,1,8,5,5
5,1,3,1,,,,2,3,7,2,3
6,2,3,2,C,1.78,68.04,2,3,8,3,4
5,2,3,2,E,1.68,58.97,1,2,1,5,1
5,2,3,2,E,1.7,55.34,1,3,8,3,2
5,1,3,2,E,1.57,68.49,1,3,8,3,4
6,2,3,1,C,1.88,77.11,,1,8,1,1
7,2,3,2,C,1.7,104.33,1,2,3,4,2
,,,,,,,1,3,5,2,3
6,2,3,2,E,1.57,50.35,1,1,1,1,7
6,1,3,1,,,,1,1,1,2,1
5,2,3,2,C,1.78,74.84,1,3,6,2,1
5,2,3,2,C,1.83,65.32,1,3,8,1,2
5,2,3,2,C,1.68,74.84,1,4,6,2,3
6,2,3,2,C,,,1,2,6,3,2
6,2,3,1,,,,,1,1,1,1
6,1,3,2,C,,,3,3,5,2,3
6,,3,2,C,,,1,3,2,2,5
6,1,3,2,C,1.68,79.38,,4,3,4,1
6,2,3,1,C,1.75,127.01,,4,3,2,4
,,,,,,,3,2,3,5,3
4,1,2,1,E,1.57,50.8,4,3,8,4,2
5,2,2,2,E,1.83,100.25,1,4,4,1,4
7,1,4,1,E,1.6,61.24,5,3,2,3,3
5,2,3,2,E,1.75,82.56,4,4,7,1,2
4,2,4,2,E,1.7,72.58,1,3,4,1,2
4,2,2,2,E,1.78,52.16,1,1,4,4,2
5,2,2,2,E,1.8,99.79,1,4,5,2,5
4,2,2,2,E,1.85,98.43,4,4,6,4,5
3,2,1,2,E,1.73,58.97,1,2,8,1,4
3,2,1,2,C E,,,1,3,,,
5,2,3,2,E,1.85,90.72,1,4,8,5,4
4,2,1,2,E,1.7,63.5,1,3,5,2,4
3,1,1,2,E,1.63,59.88,2,3,4,5,1
3,1,1,2,E,1.65,52.16,1,3,7,1,4
5,2,3,2,E,1.83,99.79,1,5,8,5,4
4,2,1,2,E,,,1,3,8,4,2
4,1,1,2,E,,,1,4,6,3,3
3,1,1,2,E,1.6,61.24,1,3,8,3,5
5,2,3,2,E,1.68,53.52,1,3,1,1,4
3,2,1,2,E,1.83,86.18,1,4,7,1,7
7,2,4,2,E,1.78,70.31,6,4,8,3,2
3,1,1,2,E,,,1,4,5,4,2
6,1,3,2,E,1.7,56.7,1,3,1,5,1
5,1,3,2,E,,,,3,2,2,4
3,2,1,2,E,1.8,56.7,1,2,8,2,4
3,2,1,1,BC E,1.73,57.61,1,3,5,4,3
4,1,2,2,E,,,1,3,8,3,5
4,1,2,2,E,1.7,54.43,1,4,4,2,2
6,2,4,2,E,1.75,78.47,1,3,1,5,5
6,2,4,2,C E,1.85,83.46,4,3,7,3,2
7,2,4,2,E,1.83,90.72,1,3,8,,
7,2,4,2,E,1.7,59.42,2,2,1,2,5
4,2,2,2,E,1.8,70.31,1,3,5,3,4
4,2,2,2,E,1.63,46.27,,2,1,3,4
4,1,2,2,E,1.63,50.8,1,2,7,3,2
3,1,1,2,E,1.63,63.5,2,3,4,2,3
3,1,1,2,E,1.57,63.5,2,4,,3,4
4,1,2,2,E,1.5,51.71,1,3,2,,
3,1,1,2,E,1.6,68.04,1,4,4,4,3
5,1,2,2,E,1.57,63.5,1,4,3,2,3
4,1,1,2,E,1.65,54.43,1,3,4,3,5
5,2,3,2,E,1.83,77.11,1,3,5,3,5
5,2,3,2,E,1.78,56.7,1,2,5,2,4
6,2,3,2,E,1.73,70.31,3,3,6,4,4
6,2,3,2,E,1.78,110.68,2,5,6,3,2
4,1,2,2,E,1.7,63.5,1,3,5,3,3
4,,1,2,E,,,1,4,4,3,4
4,2,2,2,E,1.9,71.22,2,3,6,1,5
4,1,2,2,E,1.63,60.33,3,3,4,3,3
4,2,2,2,E,1.85,109.32,1,4,,3,4
4,1,2,2,E,,,1,4,4,1,5
4,1,2,2,E,1.6,52.16,1,3,3,3,5
7,2,4,2,E,1.88,75.3,1,3,3,2,1
6,1,3,1,,1.52,40.37,1,1,1,4,1
5,1,2,1,E,1.57,54.89,1,3,7,3,3
7,,4,2,E,,,1,3,1,4,2
5,1,2,1,ABCDE,1.73,86.18,3,5,5,4,3
7,1,4,2,E,1.63,77.11,1,3,8,2,4
4,2,1,2,E,1.85,70.76,1,2,7,4,1
4,2,1,2,E,1.75,72.58,1,3,8,2,4
6,2,4,2,E,1.83,102.06,1,4,4,3,3
5,2,2,2,E,1.75,63.05,1,2,8,2,5
6,2,3,2,E,1.75,57.61,1,2,7,3,2
7,2,4,2,E,1.65,83.46,2,4,3,3,2
5,1,3,2,E,,,1,3,5,2,4
5,1,3,2,E,,,3,4,2,1,4
5,1,3,2,E,,,2,3,6,5,3
6,1,3,2,E,1.63,46.27,3,3,1,,4
3,2,1,2,E,1.78,65.77,1,3,7,1,5
3,2,1,1,,1.63,60.33,1,4,7,2,4
3,2,1,2,E,,,1,4,8,4,4
4,2,1,2,E,,,,3,2,2,5
3,2,1,2,E,,,1,4,5,1,7
4,2,5,1,A,,,7,5,8,1,7
7,2,4,2,E,1.9,127.01,1,4,1,3,5
3,1,1,1,E,,,1,3,6,,5
5,2,3,2,E,1.73,66.68,1,3,5,3,3
5,2,2,2,E,1.83,66.23,2,3,7,4,3
5,2,2,2,E,1.85,81.65,1,3,,,
